Date,Hoeveelheid,Cumulatief
27-2-2020,0,0
28-2-2020,0,0
29-2-2020,0,0
1-3-2020,0,0
2-3-2020,0,0
3-3-2020,0,0
4-3-2020,0,0
5-3-2020,0,0
6-3-2020,1,1
7-3-2020,1,2
8-3-2020,2,4
9-3-2020,0,4
10-3-2020,1,5
11-3-2020,2,7
12-3-2020,3,10
13-3-2020,6,16
14-3-2020,10,26
15-3-2020,14,40
16-3-2020,24,64
17-3-2020,23,87
18-3-2020,19,106
19-3-2020,45,151
20-3-2020,56,207
21-3-2020,65,272
22-3-2020,63,335
23-3-2020,87,422
24-3-2020,77,499
25-3-2020,115,614
26-3-2020,126,740
27-3-2020,116,856
28-3-2020,153,1009
29-3-2020,123,1132
30-3-2020,154,1286
31-3-2020,175,1461
1-4-2020,164,1625
2-4-2020,178,1803
3-4-2020,175,1978
4-4-2020,175,2153
5-4-2020,164,2317
6-4-2020,169,2486
7-4-2020,156,2642
8-4-2020,150,2792
9-4-2020,119,2911
10-4-2020,158,3069
11-4-2020,143,3212
12-4-2020,144,3356
13-4-2020,130,3486
14-4-2020,133,3619
15-4-2020,124,3743
16-4-2020,137,3880
17-4-2020,129,4009
18-4-2020,118,4127
19-4-2020,114,4241
20-4-2020,96,4337
21-4-2020,131,4468
22-4-2020,119,4587
23-4-2020,106,4693
24-4-2020,93,4786
25-4-2020,81,4867
26-4-2020,78,4945
27-4-2020,75,5020
28-4-2020,72,5092
29-4-2020,59,5151
30-4-2020,66,5217
1-5-2020,54,5271
2-5-2020,55,5326
3-5-2020,45,5371
4-5-2020,58,5429
5-5-2020,35,5464
6-5-2020,53,5517
7-5-2020,44,5561
8-5-2020,40,5601
9-5-2020,39,5640
10-5-2020,25,5665
11-5-2020,34,5699
12-5-2020,34,5733
13-5-2020,26,5759
14-5-2020,23,5782
15-5-2020,23,5805
16-5-2020,19,5824
17-5-2020,16,5840
18-5-2020,15,5855
19-5-2020,21,5876
20-5-2020,22,5898
21-5-2020,11,5909
22-5-2020,20,5929
23-5-2020,18,5947
24-5-2020,13,5960
25-5-2020,15,5975
26-5-2020,19,5994
27-5-2020,16,6010
28-5-2020,5,6015
29-5-2020,11,6026
30-5-2020,11,6037
31-5-2020,14,6051
1-6-2020,7,6058
2-6-2020,8,6066
3-6-2020,6,6072
4-6-2020,8,6080
5-6-2020,10,6090
6-6-2020,8,6098
7-6-2020,9,6107
8-6-2020,6,6113
9-6-2020,5,6118
10-6-2020,7,6125
11-6-2020,5,6130
12-6-2020,7,6137
13-6-2020,1,6138
14-6-2020,4,6142
15-6-2020,5,6147
16-6-2020,3,6150
17-6-2020,4,6154
18-6-2020,5,6159
19-6-2020,2,6161
20-6-2020,1,6162
21-6-2020,5,6167
22-6-2020,1,6168
23-6-2020,1,6169
24-6-2020,3,6172
25-6-2020,0,6172
26-6-2020,2,6174
27-6-2020,3,6177
28-6-2020,2,6179
29-6-2020,1,6180
30-6-2020,2,6182
1-7-2020,3,6185
2-7-2020,0,6185
3-7-2020,3,6188
4-7-2020,0,6188
5-7-2020,3,6191
6-7-2020,0,6191
7-7-2020,3,6194
8-7-2020,0,6194
9-7-2020,0,6194
10-7-2020,1,6195
11-7-2020,0,6195
12-7-2020,2,6197
13-7-2020,0,6197
14-7-2020,2,6199
15-7-2020,3,6202
16-7-2020,0,6202
17-7-2020,1,6203
18-7-2020,0,6203
19-7-2020,1,6204
20-7-2020,2,6206
21-7-2020,0,6206
22-7-2020,3,6209
23-7-2020,1,6210
24-7-2020,0,6210
25-7-2020,0,6210
26-7-2020,1,6211
27-7-2020,4,6215
28-7-2020,2,6217
29-7-2020,1,6218
30-7-2020,1,6219
31-7-2020,1,6220
1-8-2020,0,6220
2-8-2020,0,6220
3-8-2020,0,6220
4-8-2020,0,6220
5-8-2020,2,6222
6-8-2020,0,6222
7-8-2020,0,6222
8-8-2020,1,6223
9-8-2020,2,6225
10-8-2020,5,6230
11-8-2020,3,6233
12-8-2020,3,6236
13-8-2020,4,6240
14-8-2020,4,6244
15-8-2020,5,6249
16-8-2020,2,6251
17-8-2020,5,6256
18-8-2020,3,6259
19-8-2020,2,6261
20-8-2020,7,6268
21-8-2020,4,6272
22-8-2020,2,6274
23-8-2020,4,6278
24-8-2020,3,6281
25-8-2020,2,6283
26-8-2020,5,6288
27-8-2020,0,6288
28-8-2020,5,6293
29-8-2020,2,6295
30-8-2020,5,6300
31-8-2020,3,6303
1-9-2020,4,6307
2-9-2020,1,6308
3-9-2020,1,6309
4-9-2020,4,6313
5-9-2020,2,6315
6-9-2020,2,6317
7-9-2020,1,6318
8-9-2020,2,6320
9-9-2020,2,6322
10-9-2020,3,6325
11-9-2020,4,6329
12-9-2020,7,6336
13-9-2020,1,6337
14-9-2020,0,6337
15-9-2020,1,6338
16-9-2020,6,6344
17-9-2020,9,6353
18-9-2020,6,6359
19-9-2020,9,6368
20-9-2020,6,6374
21-9-2020,11,6385
22-9-2020,15,6400
23-9-2020,5,6405
24-9-2020,15,6420
25-9-2020,17,6437
26-9-2020,14,6451
27-9-2020,12,6463
28-9-2020,14,6477
29-9-2020,16,6493
30-9-2020,24,6517
1-10-2020,19,6536
2-10-2020,11,6547
3-10-2020,23,6570
4-10-2020,21,6591
5-10-2020,30,6621
6-10-2020,26,6647
7-10-2020,17,6664
8-10-2020,18,6682
9-10-2020,25,6707
10-10-2020,26,6733
11-10-2020,30,6763
12-10-2020,32,6795
13-10-2020,29,6824
14-10-2020,33,6857
15-10-2020,37,6894
16-10-2020,33,6927
17-10-2020,46,6973
18-10-2020,56,7029
19-10-2020,46,7075
20-10-2020,50,7125
21-10-2020,51,7176
22-10-2020,61,7237
23-10-2020,62,7299
24-10-2020,48,7347
25-10-2020,49,7396
26-10-2020,64,7460
27-10-2020,68,7528
28-10-2020,73,7601
29-10-2020,60,7661
30-10-2020,75,7736
31-10-2020,74,7810
1-11-2020,81,7891
2-11-2020,81,7972
3-11-2020,74,8046
4-11-2020,84,8130
5-11-2020,68,8198
6-11-2020,87,8285
7-11-2020,75,8360
8-11-2020,83,8443
9-11-2020,67,8510
10-11-2020,86,8596
11-11-2020,68,8664
12-11-2020,54,8718
13-11-2020,56,8774
14-11-2020,61,8835
15-11-2020,59,8894
16-11-2020,54,8948
17-11-2020,62,9010
18-11-2020,55,9065
19-11-2020,44,9109
20-11-2020,56,9165
21-11-2020,48,9213
22-11-2020,45,9258
23-11-2020,45,9303
24-11-2020,57,9360
25-11-2020,55,9415
26-11-2020,54,9469
27-11-2020,47,9516
28-11-2020,38,9554
29-11-2020,48,9602
30-11-2020,51,9653
1-12-2020,53,9706
2-12-2020,51,9757
3-12-2020,25,9782
4-12-2020,42,9824
5-12-2020,39,9863
6-12-2020,46,9909
7-12-2020,48,9957
8-12-2020,55,10012
9-12-2020,45,10057
10-12-2020,59,10116
11-12-2020,57,10173
12-12-2020,61,10234
13-12-2020,56,10290
14-12-2020,78,10368
15-12-2020,73,10441
16-12-2020,60,10501
17-12-2020,63,10564
18-12-2020,60,10624
19-12-2020,73,10697
20-12-2020,70,10767
21-12-2020,75,10842
22-12-2020,78,10920
23-12-2020,72,10992
24-12-2020,83,11075
25-12-2020,79,11154
26-12-2020,74,11228
27-12-2020,88,11316
28-12-2020,92,11408
29-12-2020,93,11501
30-12-2020,58,11559
31-12-2020,68,11627
1-1-2021,49,11676
2-1-2021,53,11729
3-1-2021,56,11785
4-1-2021,33,11818
5-1-2021,0,11818
