date,total
2020-04-01,1042
2020-04-02,1028
2020-04-03,1222
2020-04-04,1096
2020-04-05,858
2020-04-06,772
2020-04-07,1088
2020-04-08,1346
2020-04-09,1315
2020-04-10,1394
2020-04-11,1054
2020-04-12,823
2020-04-13,756
2020-04-14,816
2020-04-15,1114
2020-04-16,1168
2020-04-17,1275
2020-04-18,994
2020-04-19,623
2020-04-20,585
2020-04-21,712
2020-04-22,971
2020-04-23,796
2020-04-24,660
2020-04-25,576
2020-04-26,379
2020-04-27,177
2020-04-28,393
2020-04-29,459
2020-04-30,507
2020-05-01,492
2020-05-02,312
2020-05-03,175
2020-05-04,285
2020-05-05,251
2020-05-06,302
2020-05-07,298
2020-05-08,327
2020-05-09,252
2020-05-10,152
2020-05-11,169
2020-05-12,218
2020-05-13,295
2020-05-14,185
2020-05-15,210
2020-05-16,156
2020-05-17,113
2020-05-18,103
2020-05-19,180
2020-05-20,294
2020-05-21,192
2020-05-22,196
2020-05-23,202
2020-05-24,151
2020-05-25,126
2020-05-26,173
2020-05-27,191
2020-05-28,206
2020-05-29,167
2020-05-30,170
2020-05-31,99
2020-06-01,99
2020-06-02,123
2020-06-03,185
2020-06-04,262
2020-06-05,222
2020-06-06,186
2020-06-07,134
2020-06-08,155
2020-06-09,142
2020-06-10,182
2020-06-11,205
2020-06-12,195
2020-06-13,131
2020-06-14,147
2020-06-15,129
2020-06-16,119
2020-06-17,137
2020-06-18,83
2020-06-19,103
2020-06-20,98
2020-06-21,57
2020-06-22,71
2020-06-23,75
2020-06-24,113
2020-06-25,84
2020-06-26,69
2020-06-27,81
2020-06-28,68
2020-06-29,50
2020-06-30,58